Plasmid-ID	Host	Niche	Source	Length	Circular	Conj_type	Plasmidfinder_type	Copy_number	ARG_number	ARG_Type_Subtype	unique_type	unique_subtype	carrying_VF_num	Selection
2ndManhole-barcode09-contig_2	2ndManhole-barcode09	Human	Manhole	138565	Y	Conj	IncFIB(AP001918), IncFII	0.411993587	6	beta_lactam__TEM-135, florfenicol__floR, quinolone__QnrS1, tetracycline__tet(A), tetracycline__tet(A), trimethoprim__dfrA14	5	5	6	N
2ndManhole-barcode11-contig_1	2ndManhole-barcode11	Human	Manhole	7865	Y	unmob		205.1818195	0		0	0	0	N
2ndManhole-barcode11-contig_3	2ndManhole-barcode11	Human	Manhole	20090	Y	unmob	Col440I, Col440I, Col440I	131.5045967	0		0	0	0	N
2ndManhole-barcode11-contig_4	2ndManhole-barcode11	Human	Manhole	78726	Y	unmob	IncFIB(K), IncFIA(HI1)	0.724371256	10	aminoglycoside__aadA, aminoglycoside__aadA, beta_lactam__TEM-1, chloramphenicol__cmlA1, florfenicol__floR, macrolide-lincosamide-streptogramin__mef(B), macrolide-lincosamide-streptogramin__mph(A), quinolone__QnrS1, sulfonamide__sul3, trimethoprim__dfrA12	8	9	0	N
2ndManhole-barcode11-contig_5	2ndManhole-barcode11	Human	Manhole	38799	Y	Conj		7.917558114	0		0	0	0	N
2ndManhole-barcode12-contig_2	2ndManhole-barcode12	Human	Manhole	137187	Y	Conj	IncFIB(AP001918), IncFIC(FII)	0.511295544	4	beta_lactam__TEM-135, quinolone__QnrS1, tetracycline__tet(A), trimethoprim__dfrA14	4	4	12	N
2ndManhole-barcode13-contig_2	2ndManhole-barcode13	Human	Manhole	138568	Y	Conj	IncFIB(AP001918), IncFII	1.230649539	6	beta_lactam__TEM-135, florfenicol__floR, quinolone__QnrS1, tetracycline__tet(A), tetracycline__tet(A), trimethoprim__dfrA14	5	5	6	N
2ndManhole-barcode14-contig_2	2ndManhole-barcode14	Human	Manhole	138570	Y	Conj	IncFIB(AP001918), IncFII	1.138258255	6	beta_lactam__TEM-135, florfenicol__floR, quinolone__QnrS1, tetracycline__tet(A), tetracycline__tet(A), trimethoprim__dfrA14	5	5	6	N
2ndManhole-barcode15-contig_1	2ndManhole-barcode15	Human	Manhole	3961	N	unmob		4.522908789	0		0	0	0	N
2ndManhole-barcode15-contig_10	2ndManhole-barcode15	Human	Manhole	6520	Y	unmob	Col(MP18), Col(MP18)	50.0942443	0		0	0	0	N
2ndManhole-barcode15-contig_11	2ndManhole-barcode15	Human	Manhole	12442	Y	unmob	Col(MG828), Col(MG828)	84.21391252	0		0	0	0	N
2ndManhole-barcode15-contig_13	2ndManhole-barcode15	Human	Manhole	43554	N	unmob		3.06681513	0		0	0	0	N
2ndManhole-barcode15-contig_14	2ndManhole-barcode15	Human	Manhole	162083	Y	Conj	IncFIB(AP001918), IncFIA, IncFII, IncFII, Col156	1.839177893	7	aminoglycoside__aadA5, beta_lactam__TEM-1, beta_lactam__CTX-M-27, macrolide-lincosamide-streptogramin__mph(A), sulfonamide__sul1, tetracycline__tet(B), trimethoprim__dfrA17	6	7	2	N
2ndManhole-barcode15-contig_3	2ndManhole-barcode15	Human	Manhole	86931	Y	Conj	IncB/O/K/Z	3.164369799	0		0	0	0	N
2ndManhole-barcode15-contig_4	2ndManhole-barcode15	Human	Manhole	20756	N	unmob		2.821803529	0		0	0	0	N
2ndManhole-barcode15-contig_7	2ndManhole-barcode15	Human	Manhole	9021	N	unmob		3.040015669	0		0	0	0	N
2ndManhole-barcode16-contig_2	2ndManhole-barcode16	Human	Manhole	68962	Y	Conj		3.372632429	0		0	0	0	N
2ndManhole-barcode16-contig_3	2ndManhole-barcode16	Human	Manhole	108866	Y	mob_unconj	p0111	1.222743656	13	aminoglycoside__APH(6)-Id, aminoglycoside__APH(3'')-Ib, aminoglycoside__AAC(6')-Ib-cr, aminoglycoside__aadA5, beta_lactam__OXA-1, bleomycin__bleomycin resistance protein, chloramphenicol__catB3, florfenicol__floR, quinolone__QnrS2, rifamycin__arr-3, sulfonamide__sul2, tetracycline__tet(A), trimethoprim__dfrA17	10	13	0	N
2ndManhole-barcode17-contig_1	2ndManhole-barcode17	Human	Manhole	2148	N	unmob	Col440I	49.25735198	0		0	0	0	N
2ndManhole-barcode17-contig_2	2ndManhole-barcode17	Human	Manhole	2225	N	unmob		52.05994343	0		0	0	0	N
2ndManhole-barcode17-contig_4	2ndManhole-barcode17	Human	Manhole	1860	N	unmob		8.090234389	0		0	0	0	N
2ndManhole-barcode17-contig_5	2ndManhole-barcode17	Human	Manhole	2131	N	unmob	Col440I	39.1291625	0		0	0	0	N
2ndManhole-barcode17-contig_7	2ndManhole-barcode17	Human	Manhole	55623	Y	Conj	IncX1	0.697492267	7	aminoglycoside__APH(3')-Ia, beta_lactam__TEM-135, florfenicol__floR, quinolone__QnrS1, quinolone__QnrS1, tetracycline__tet(A), trimethoprim__dfrA14	6	6	0	N
2ndManhole-barcode17-contig_8	2ndManhole-barcode17	Human	Manhole	106598	Y	Conj	IncI	0.893646975	3	aminoglycoside__AAC(3)-IId, macrolide-lincosamide-streptogramin__erm(C), macrolide-lincosamide-streptogramin__erm(B)	2	3	0	N
2ndManhole-barcode18-contig_1	2ndManhole-barcode18	Human	Manhole	8944	Y	unmob		94.20147529	0		0	0	0	N
2ndManhole-barcode18-contig_3	2ndManhole-barcode18	Human	Manhole	98455	Y	Conj	IncFIB(AP001918), IncFII	0.547440918	9	aminoglycoside__APH(6)-Id, aminoglycoside__APH(3'')-Ib, beta_lactam__TEM-1, florfenicol__floR, quinolone__QnrS1, sulfonamide__sul2, tetracycline__tet(A), tetracycline__tet(A), trimethoprim__dfrA14	7	8	0	N
2ndManhole-barcode18-contig_4	2ndManhole-barcode18	Human	Manhole	4366	Y	unmob	Col440I, Col440I	133.512543	0		0	0	0	N
2ndManhole-barcode18-contig_5	2ndManhole-barcode18	Human	Manhole	14396	Y	unmob		7.639440292	0		0	0	0	N
2ndManhole-barcode18-contig_6	2ndManhole-barcode18	Human	Manhole	39511	Y	Conj	IncX1	1.791374932	0		0	0	6	N
2ndManhole-barcode19-contig_2	2ndManhole-barcode19	Human	Manhole	158455	Y	mob_unconj	p0111, IncFIB(K), IncHI1B(CIT)	0.73594054	8	aminoglycoside__APH(3'')-Ib, aminoglycoside__APH(6)-Id, beta_lactam__TEM-1, florfenicol__floR, quinolone__QnrS1, sulfonamide__sul2, tetracycline__tet(A), trimethoprim__dfrA14	7	8	0	N
2ndManhole-barcode19-contig_3	2ndManhole-barcode19	Human	Manhole	3564	Y	unmob		115.602217	0		0	0	0	N
2ndManhole-barcode20-contig_1	2ndManhole-barcode20	Human	Manhole	98471	Y	Conj	IncFIB(AP001918), IncFII	0.556781814	9	aminoglycoside__APH(3'')-Ib, aminoglycoside__APH(6)-Id, beta_lactam__TEM-1, florfenicol__floR, quinolone__QnrS1, sulfonamide__sul2, tetracycline__tet(A), tetracycline__tet(A), trimethoprim__dfrA14	7	8	0	N
2ndManhole-barcode20-contig_3	2ndManhole-barcode20	Human	Manhole	8973	Y	unmob		114.0959247	0		0	0	0	N
2ndManhole-barcode20-contig_4	2ndManhole-barcode20	Human	Manhole	2314	Y	unmob	Col440I	194.6027292	0		0	0	0	N
2ndManhole-barcode20-contig_5	2ndManhole-barcode20	Human	Manhole	79077	Y	Conj	IncX1, IncX1	0.972555846	0		0	0	18	N
2ndManhole-barcode20-contig_6	2ndManhole-barcode20	Human	Manhole	21660	Y	unmob		5.702784587	0		0	0	0	N
2ndManhole-barcode21-contig_2	2ndManhole-barcode21	Human	Manhole	169034	Y	Conj	IncFIB(AP001918), IncFIC(FII), IncFIA	0.573175006	4	aminoglycoside__APH(3'')-Ib, aminoglycoside__APH(6)-Id, beta_lactam__TEM-1, tetracycline__tet(A)	4	4	10	N
2ndManhole-barcode22-contig_1	2ndManhole-barcode22	Human	Manhole	4154	Y	unmob	Col440I	198.2130256	0		0	0	0	N
2ndManhole-barcode22-contig_3	2ndManhole-barcode22	Human	Manhole	98471	Y	Conj	IncFIB(AP001918), IncFII	0.586238137	9	aminoglycoside__APH(3'')-Ib, aminoglycoside__APH(6)-Id, beta_lactam__TEM-1, florfenicol__floR, quinolone__QnrS1, sulfonamide__sul2, tetracycline__tet(A), tetracycline__tet(A), trimethoprim__dfrA14	7	8	0	N
2ndManhole-barcode22-contig_4	2ndManhole-barcode22	Human	Manhole	8905	Y	unmob		151.4977149	0		0	0	0	N
2ndManhole-barcode22-contig_5	2ndManhole-barcode22	Human	Manhole	21812	Y	unmob		6.901813014	0		0	0	0	N
2ndManhole-barcode22-contig_6	2ndManhole-barcode22	Human	Manhole	39511	Y	Conj	IncX1	2.716466704	0		0	0	6	N
2ndManhole-barcode23-contig_2	2ndManhole-barcode23	Human	Manhole	98469	Y	Conj	IncFIB(AP001918), IncFII	0.537018324	9	aminoglycoside__APH(3'')-Ib, aminoglycoside__APH(6)-Id, beta_lactam__TEM-1, florfenicol__floR, quinolone__QnrS1, sulfonamide__sul2, tetracycline__tet(A), tetracycline__tet(A), trimethoprim__dfrA14	7	8	0	N
2ndManhole-barcode23-contig_6	2ndManhole-barcode23	Human	Manhole	2321	Y	unmob	Col440I	159.2520878	0		0	0	0	N
2ndManhole-barcode23-contig_7	2ndManhole-barcode23	Human	Manhole	4665	Y	unmob		146.2767468	0		0	0	0	N
2ndManhole-barcode23-contig_8	2ndManhole-barcode23	Human	Manhole	39511	Y	Conj	IncX1	2.220670795	0		0	0	6	N
2ndManhole-barcode24-contig_2	2ndManhole-barcode24	Human	Manhole	169034	Y	Conj	IncFIB(AP001918), IncFIC(FII), IncFIA	0.591199268	4	aminoglycoside__APH(6)-Id, aminoglycoside__APH(3'')-Ib, beta_lactam__TEM-1, sulfonamide__sul2	4	4	10	N
2ndManhole-barcode25-contig_15	2ndManhole-barcode25	Human	Manhole	10301	N	unmob		1.134220079	0		0	0	1	N
2ndManhole-barcode25-contig_25	2ndManhole-barcode25	Human	Manhole	41370	Y	unmob	IncX1	2.448014938	8	aminoglycoside__APH(3')-IIa, aminoglycoside__aadA, beta_lactam__OXA-10, chloramphenicol__cmlA5, rifamycin__arr-2, sulfonamide__sul2, tetracycline__tet(A), trimethoprim__dfrA14	7	8	0	N
2ndManhole-barcode26-contig_1	2ndManhole-barcode26	Human	Manhole	2305	N	unmob	Col440I	227.8683623	0		0	0	0	N
2ndManhole-barcode26-contig_2	2ndManhole-barcode26	Human	Manhole	14483	Y	unmob		11.86935018	0		0	0	0	N
2ndManhole-barcode26-contig_3	2ndManhole-barcode26	Human	Manhole	98469	Y	Conj	IncFIB(AP001918), IncFII	0.660814766	9	aminoglycoside__APH(6)-Id, aminoglycoside__APH(3'')-Ib, beta_lactam__TEM-1, florfenicol__floR, quinolone__QnrS1, sulfonamide__sul2, tetracycline__tet(A), tetracycline__tet(A), trimethoprim__dfrA14	7	8	0	N
2ndManhole-barcode26-contig_5	2ndManhole-barcode26	Human	Manhole	39511	Y	Conj	IncX1	3.159531152	0		0	0	6	N
2ndManhole-barcode27-contig_3	2ndManhole-barcode27	Human	Manhole	27250	Y	unmob	IncR	4.701994327	2	beta_lactam__TEM-1, tetracycline__tet(A)	2	2	0	N
2ndManhole-barcode27-contig_4	2ndManhole-barcode27	Human	Manhole	4083	Y	mob_unconj	Col8282	82.92908197	0		0	0	0	N
2ndManhole-barcode27-contig_5	2ndManhole-barcode27	Human	Manhole	2969	Y	mob_unconj		154.9814916	0		0	0	0	N
2ndManhole-barcode27-contig_6	2ndManhole-barcode27	Human	Manhole	128762	Y	Conj	IncFII(pHN7A8)	0.466903258	6	aminoglycoside__aadA, aminoglycoside__aadA, chloramphenicol__cmlA1, macrolide-lincosamide-streptogramin__mef(B), sulfonamide__sul3, trimethoprim__dfrA12	5	5	1	N
2ndManhole-barcode27-contig_7	2ndManhole-barcode27	Human	Manhole	84620	Y	Conj	IncI1	0.536200566	0		0	0	0	N
2ndManhole-barcode27-contig_8	2ndManhole-barcode27	Human	Manhole	110926	Y	unmob	IncFIB(pLF82)	0.209158345	0		0	0	0	N
2ndManhole-barcode28-contig_1	2ndManhole-barcode28	Human	Manhole	9354	Y	mob_unconj		56.13128389	0		0	0	0	N
2ndManhole-barcode28-contig_2	2ndManhole-barcode28	Human	Manhole	32280	Y	unmob	IncX1	1.267781791	2	beta_lactam__TEM-1, quinolone__QnrS1	2	2	0	N
2ndManhole-barcode28-contig_4	2ndManhole-barcode28	Human	Manhole	47462	Y	unmob	IncFIB(K)	0.607683831	1	florfenicol__floR	1	1	0	N
2ndManhole-barcode28-contig_5	2ndManhole-barcode28	Human	Manhole	2043	Y	mob_unconj		80.78698033	0		0	0	0	N
2ndManhole-barcode29-contig_2	2ndManhole-barcode29	Human	Manhole	123739	Y	mob_unconj	IncFIB(AP001918), IncFIA, IncFII(pRSB107), Col156	1.546827935	9	aminoglycoside__aadA5, aminoglycoside__APH(6)-Id, aminoglycoside__APH(3'')-Ib, beta_lactam__TEM-1, macrolide-lincosamide-streptogramin__mph(A), sulfonamide__sul2, sulfonamide__sul1, tetracycline__tet(A), trimethoprim__dfrA17	6	9	1	N
2ndManhole-barcode30-contig_4	2ndManhole-barcode30	Human	Manhole	54135	Y	unmob	IncR, IncR	3.180764042	4	beta_lactam__TEM-1, beta_lactam__TEM-1, tetracycline__tet(A), tetracycline__tet(A)	2	2	0	N
2ndManhole-barcode30-contig_5	2ndManhole-barcode30	Human	Manhole	128755	Y	Conj	IncFII(pHN7A8)	1.566950016	6	aminoglycoside__aadA, aminoglycoside__aadA, chloramphenicol__cmlA1, macrolide-lincosamide-streptogramin__mef(B), sulfonamide__sul3, trimethoprim__dfrA12	5	5	1	N
2ndManhole-barcode30-contig_6	2ndManhole-barcode30	Human	Manhole	84287	Y	Conj	IncI1	1.978359914	0		0	0	0	N
2ndManhole-barcode30-contig_7	2ndManhole-barcode30	Human	Manhole	110893	Y	unmob	IncFIB(pLF82)	1.137285662	0		0	0	0	N
2ndManhole-barcode31-contig_4	2ndManhole-barcode31	Human	Manhole	128760	Y	Conj	IncFII(pHN7A8)	1.6278497	6	aminoglycoside__aadA, aminoglycoside__aadA, chloramphenicol__cmlA1, macrolide-lincosamide-streptogramin__mef(B), sulfonamide__sul3, trimethoprim__dfrA12	5	5	1	N
2ndManhole-barcode31-contig_5	2ndManhole-barcode31	Human	Manhole	84039	Y	Conj	IncI1	1.788365084	0		0	0	0	N
2ndManhole-barcode31-contig_6	2ndManhole-barcode31	Human	Manhole	110892	Y	unmob	IncFIB(pLF82)	1.114049437	0		0	0	0	N
2ndManhole-barcode31-contig_7	2ndManhole-barcode31	Human	Manhole	27245	Y	unmob	IncR	6.160047943	2	beta_lactam__TEM-1, tetracycline__tet(A)	2	2	0	N
2ndManhole-barcode32-contig_3	2ndManhole-barcode32	Human	Manhole	54823	Y	unmob		2.555983767	4	beta_lactam__LAP-2, beta_lactam__TEM-1, quinolone__QnrS1, tetracycline__tet(C)	3	4	0	N
2ndManhole-barcode32-contig_4	2ndManhole-barcode32	Human	Manhole	16094	Y	unmob		39.41181592	0		0	0	0	N
2ndManhole-barcode32-contig_5	2ndManhole-barcode32	Human	Manhole	8420	Y	unmob	Col440I, Col440I	35.79101498	0		0	0	0	N
2ndManhole-barcode33-contig_3	2ndManhole-barcode33	Human	Manhole	196068	Y	mob_unconj	IncHI1B(R27), IncHI1A, IncFIA(HI1)	1.228709091	6	aminoglycoside__aadA23, beta_lactam__TEM-1, florfenicol__floR, macrolide-lincosamide-streptogramin__lnu(G), quinolone__QnrS1, tetracycline__tet(X4)	6	6	0	N
2ndManhole-barcode34-contig_2	2ndManhole-barcode34	Human	Manhole	87520	Y	unmob	IncX1, IncFII(pHN7A8)	1.925122665	9	aminoglycoside__APH(3')-IIa, aminoglycoside__APH(3')-IIa, aminoglycoside__APH(6)-Id, aminoglycoside__APH(3'')-Ib, beta_lactam__TEM-1, beta_lactam__CTX-M-55, florfenicol__floR, sulfonamide__sul2, tetracycline__tet(A)	5	8	1	N
2ndManhole-barcode34-contig_4	2ndManhole-barcode34	Human	Manhole	18375	Y	mob_unconj		3.344064557	0		0	0	0	N
2ndManhole-barcode35-contig_1	2ndManhole-barcode35	Human	Manhole	76745	Y	unmob	IncY	1.480760704	2	quinolone__QnrS1, tetracycline__tet(A)	2	2	0	N
2ndManhole-barcode35-contig_4	2ndManhole-barcode35	Human	Manhole	6434	Y	unmob	Col440I	59.17624856	0		0	0	0	N
2ndManhole-barcode35-contig_5	2ndManhole-barcode35	Human	Manhole	30582	Y	Conj		7.797523412	1	beta_lactam__TEM-185	1	1	0	N
2ndManhole-barcode35-contig_6	2ndManhole-barcode35	Human	Manhole	91724	Y	Conj	IncI1	2.437009658	0		0	0	0	N
2ndManhole-barcode35-contig_7	2ndManhole-barcode35	Human	Manhole	178452	Y	Conj	IncFIB(AP001918), IncFIC(FII), IncFIA	2.063703218	5	aminoglycoside__aadA5, beta_lactam__DHA-1, quinolone__QnrB4, sulfonamide__sul1, trimethoprim__dfrA17	5	5	12	N
2ndManhole-barcode35-contig_8	2ndManhole-barcode35	Human	Manhole	46565	Y	mob_unconj	IncN, IncX1	3.124924926	5	aminoglycoside__APH(6)-Id, aminoglycoside__APH(3'')-Ib, beta_lactam__TEM-1, florfenicol__floR, sulfonamide__sul2	4	5	0	N
2ndManhole-barcode35-contig_9	2ndManhole-barcode35	Human	Manhole	19112	Y	mob_unconj		7.097043748	0		0	0	0	N
2ndManhole-barcode36-contig_3	2ndManhole-barcode36	Human	Manhole	10987	N	mob_unconj	Col156	11.71864546	0		0	0	0	N
2ndManhole-barcode36-contig_6	2ndManhole-barcode36	Human	Manhole	100900	Y	Conj	IncFIB(AP001918), IncFIA, IncFII(pRSB107)	1.38351235	2	aminoglycoside__AAC(3)-IId, beta_lactam__TEM-1	2	2	1	N
2ndManhole-barcode36-contig_7	2ndManhole-barcode36	Human	Manhole	84300	Y	Conj	IncB/O/K/Z	1.673048683	0		0	0	0	N
2ndManhole-barcode37-contig_2	2ndManhole-barcode37	Human	Manhole	5235	N	unmob		0.296203374	0		0	0	0	N
2ndManhole-barcode37-contig_3	2ndManhole-barcode37	Human	Manhole	120907	Y	unmob	IncFIB(AP001918), IncFII	1.006160063	5	beta_lactam__TEM-135, florfenicol__floR, quinolone__QnrS1, tetracycline__tet(A), tetracycline__tet(A)	4	4	11	N
2ndManhole-barcode37-contig_4	2ndManhole-barcode37	Human	Manhole	93725	Y	Conj	IncFII(pRSB107)	1.228202304	0		0	0	0	N
2ndManhole-barcode38-contig_4	2ndManhole-barcode38	Human	Manhole	84385	Y	Conj	IncB/O/K/Z	2.161394586	0		0	0	0	N
2ndManhole-barcode38-contig_5	2ndManhole-barcode38	Human	Manhole	20173	Y	mob_unconj	Col156, Col156	13.25079715	0		0	0	0	N
2ndManhole-barcode39-contig_10	2ndManhole-barcode39	Human	Manhole	151460	Y	mob_unconj	IncY	1.413134188	0		0	0	0	N
2ndManhole-barcode39-contig_11	2ndManhole-barcode39	Human	Manhole	107158	Y	Conj	IncI1	2.153013109	1	beta_lactam__CTX-M-14	1	1	0	N
2ndManhole-barcode39-contig_9	2ndManhole-barcode39	Human	Manhole	107717	Y	Conj	IncN, IncN	3.362594662	7	beta_lactam__CTX-M-27, beta_lactam__CTX-M-27, beta_lactam__LAP-2, beta_lactam__LAP-2, quinolone__QnrS1, quinolone__QnrS1, trimethoprim__dfrA14	3	4	0	N
2ndManhole-barcode40-contig_1	2ndManhole-barcode40	Human	Manhole	93939	Y	Conj	IncB/O/K/Z	2.116614482	1	beta_lactam__CTX-M-14	1	1	0	N
2ndManhole-barcode40-contig_4	2ndManhole-barcode40	Human	Manhole	87564	Y	Conj	IncFIB(AP001918), IncFII(29)	1.493944529	1	beta_lactam__TEM-1	1	1	1	N
2ndManhole-barcode42-contig_4	2ndManhole-barcode42	Human	Manhole	63752	Y	mob_unconj	IncY	2.248336368	0		0	0	0	N
2ndManhole-barcode42-contig_5	2ndManhole-barcode42	Human	Manhole	54109	Y	Conj	IncN	6.600362745	4	beta_lactam__CTX-M-27, beta_lactam__LAP-2, quinolone__QnrS1, trimethoprim__dfrA14	3	4	0	N
2ndManhole-barcode43-contig_2	2ndManhole-barcode43	Human	Manhole	114242	Y	Conj		1.792985688	3	beta_lactam__TEM-1, quinolone__QnrS1, tetracycline__tet(A)	3	3	0	N
2ndManhole-barcode43-contig_3	2ndManhole-barcode43	Human	Manhole	6755	Y	unmob		139.8839706	0		0	0	0	N
2ndManhole-barcode43-contig_4	2ndManhole-barcode43	Human	Manhole	36905	Y	Conj		3.926905982	0		0	0	0	N
2ndManhole-barcode44-contig_10	2ndManhole-barcode44	Human	Manhole	7033	Y	unmob	Col440I	26.51810584	0		0	0	0	N
2ndManhole-barcode44-contig_4	2ndManhole-barcode44	Human	Manhole	316715	Y	mob_unconj	IncHI1B(R27), IncHI1A	1.66357692	0		0	0	0	N
2ndManhole-barcode44-contig_5	2ndManhole-barcode44	Human	Manhole	80868	Y	Conj		1.983263743	0		0	0	0	N
2ndManhole-barcode44-contig_7	2ndManhole-barcode44	Human	Manhole	103984	N	Conj	IncN, IncN	2.74025857	7	beta_lactam__CTX-M-27, beta_lactam__LAP-2, beta_lactam__CTX-M-27, beta_lactam__LAP-2, quinolone__QnrS1, trimethoprim__dfrA14, trimethoprim__dfrA14	3	4	0	N
2ndManhole-barcode44-contig_8	2ndManhole-barcode44	Human	Manhole	143444	N	Conj	IncN, IncI1	2.29382337	12	aminoglycoside__APH(6)-Id, aminoglycoside__aadA, aminoglycoside__APH(3'')-Ib, beta_lactam__CTX-M-27, beta_lactam__OXA-10, chloramphenicol__cmlA5, florfenicol__floR, quinolone__QnrS1, rifamycin__arr-2, sulfonamide__sul2, tetracycline__tet(A), trimethoprim__dfrA14	9	12	0	N
2ndManhole-barcode44-contig_9	2ndManhole-barcode44	Human	Manhole	105923	Y	Conj	IncFIC(FII), IncFIA	1.998131405	0		0	0	0	N
2ndManhole-barcode45-contig_4	2ndManhole-barcode45	Human	Manhole	102301	Y	Conj	IncFIB(AP001918), IncFIA, IncFII	0.898623279	0		0	0	6	N
2ndManhole-barcode46-contig_1	2ndManhole-barcode46	Human	Manhole	64690	Y	Conj	IncFII(pHN7A8)	3.747645166	1	beta_lactam__TEM-1	1	1	1	N
2ndManhole-barcode46-contig_2	2ndManhole-barcode46	Human	Manhole	142728	Y	Conj	IncFIB(AP001918), IncFIC(FII)	1.392223134	9	aminoglycoside__APH(6)-Id, aminoglycoside__AAC(3)-IId, aminoglycoside__APH(3')-Ia, aminoglycoside__APH(3'')-Ib, beta_lactam__TEM-1, florfenicol__floR, sulfonamide__sul2, sulfonamide__sul3, tetracycline__tet(A)	5	9	12	N
2ndManhole-barcode47-contig_3	2ndManhole-barcode47	Human	Manhole	114241	Y	Conj		1.801875164	3	beta_lactam__TEM-1, quinolone__QnrS1, tetracycline__tet(A)	3	3	0	N
2ndManhole-barcode47-contig_4	2ndManhole-barcode47	Human	Manhole	36888	Y	Conj		1.017520678	0		0	0	0	N
2ndManhole-barcode48-contig_2	2ndManhole-barcode48	Human	Manhole	245476	Y	mob_unconj	IncHI2A, IncHI2	1.040534835	20	aminoglycoside__APH(3'')-Ib, aminoglycoside__APH(3')-Ia, aminoglycoside__APH(6)-Id, aminoglycoside__AAC(3)-IV, aminoglycoside__aadA, aminoglycoside__APH(3')-Ia, aminoglycoside__APH(4)-Ia, aminoglycoside__aadA23, beta_lactam__OXA-10, beta_lactam__TEM-95, beta_lactam__TEM-1, beta_lactam__CTX-M-65, chloramphenicol__cmlA5, florfenicol__floR, macrolide-lincosamide-streptogramin__linG, quinolone__QnrS1, rifamycin__arr-2, tetracycline__tet(A), tetracycline__tet(A), trimethoprim__dfrA14	9	18	0	N
2ndManhole-barcode48-contig_3	2ndManhole-barcode48	Human	Manhole	90351	Y	Conj	IncI	1.943235549	0		0	0	1	N
2ndManhole-barcode48-contig_4	2ndManhole-barcode48	Human	Manhole	40617	Y	Conj		0.259447032	0		0	0	0	N
2ndManhole-barcode48-contig_5	2ndManhole-barcode48	Human	Manhole	54106	Y	Conj	IncN	0.412560744	4	beta_lactam__CTX-M-27, beta_lactam__LAP-2, quinolone__QnrS1, trimethoprim__dfrA14	3	4	0	N
2ndManhole-barcode48-contig_6	2ndManhole-barcode48	Human	Manhole	154000	Y	Conj	IncFIB(AP001918), IncFIC(FII), IncFIA	1.363915017	0		0	0	10	N
2ndManhole-barcode49-contig_2	2ndManhole-barcode49	Human	Manhole	62833	Y	unmob	IncFIB(K), IncFII	0.314205512	0		0	0	0	N
2ndManhole-barcode50-contig_1	2ndManhole-barcode50	Human	Manhole	6182	Y	mob_unconj	Col440I	57.09518856	0		0	0	0	N
