Contig-gene-ID	Gene-ID
FW-Pig-barcode67-contig_3_152	DQ810789.1.gene1.p01
FW-Pig-barcode67-contig_6_12	DQ449578.gene.p01
FW-Pig-barcode68-contig_1_6	DQ449578.gene.p01
FW-Pig-barcode68-contig_2_99	DQ810789.1.gene1.p01
FW-Pig-barcode68-contig_2_8	DQ449578.gene.p01
FW-Pig-barcode70-contig_15_78	DQ449578.gene.p01
FW-Pig-barcode70-contig_17_74	gi|281335986|gb|ADA62550.1|
FW-Pig-barcode70-contig_17_73	gb|WP_136512065.1|ARO:3005649|CTX-M-226
FW-Pig-barcode71-contig_2_48	DQ810789.1.gene1.p01
FW-Pig-barcode71-contig_2_54	DQ449578.gene.p01
FW-Pig-barcode72-contig_20_5	DQ810789.1.gene1.p01
FW-Pig-barcode72-contig_4_583	DQ449578.gene.p01
FW-Pig-barcode73-contig_10_5	DQ810789.1.gene1.p01
FW-Pig-barcode73-contig_9_12	DQ449578.gene.p01
FW-Pig-barcode74-contig_1_4074	DQ449578.gene.p01
FW-Pig-barcode74-contig_27_12	DQ810789.1.gene1.p01
FW-Pig-barcode75-contig_2_77	DQ449578.gene.p01
FW-Pig-barcode75-contig_8_73	DQ810789.1.gene1.p01
FW-Pig-barcode77-contig_16_36	DQ810789.1.gene1.p01
FW-Pig-barcode78-contig_4_256	DQ810789.1.gene1.p01
FW-Pig-barcode78-contig_4_250	DQ449578.gene.p01
FW-Pig-barcode79-contig_3_82	DQ449578.gene.p01
FW-Pig-barcode79-contig_5_292	DQ810789.1.gene1.p01
FW-Pig-barcode79-contig_5_285	DQ449578.gene.p01
FW-Pig-barcode81-contig_1_66	DQ449578.gene.p01
FW-Pig-barcode81-contig_7_81	DQ810789.1.gene1.p01
FW-Pig-barcode83-contig_2_151	DQ810789.1.gene1.p01
FW-Pig-barcode83-contig_5_12	DQ449578.gene.p01
FW-Pig-barcode84-contig_2_29	DQ449578.gene.p01
FW-Pig-barcode84-contig_3_128	DQ810789.1.gene1.p01
FW-Pig-barcode85-contig_13_2	DQ449578.gene.p01
FW-Pig-barcode85-contig_9_84	DQ810789.1.gene1.p01
FW-Pig-barcode86-contig_29_65	AY156923.1.gene1.p01
FW-Pig-barcode87-contig_2_153	DQ810789.1.gene1.p01
FW-Pig-barcode87-contig_3_12	DQ449578.gene.p01
FW-Pig-barcode88-contig_12_8	DQ810789.1.gene1.p01
FW-Pig-barcode88-contig_17_5	DQ449578.gene.p01
FW-Pig-barcode89-contig_16_31	DQ810789.1.gene1.p01
FW-Pig-barcode89-contig_16_37	DQ449578.gene.p01
FW-Pig-barcode89-contig_4_67	DQ449578.gene.p01
FW-Pig-barcode91-contig_1_68	DQ449578.gene.p01
FW-Pig-barcode91-contig_7_50	DQ810789.1.gene1.p01
FW-Pig-barcode92-contig_3_66	DQ449578.gene.p01
FW-Pig-barcode92-contig_6_9	DQ810789.1.gene1.p01
FW-Pig-barcode93-contig_3_45	DQ449578.gene.p01
FW-Pig-barcode93-contig_9_83	DQ810789.1.gene1.p01
Kleb-3R-barcode01-contig_2_14	DQ810789.1.gene1.p01
Kleb-3R-barcode01-contig_2_1	DQ449578.gene.p01
Kleb-3R-barcode01-contig_2_66	gb|ABU52984.1|ARO:3002792|QnrS3
Kleb-3R-barcode02-contig_4_4	DQ449578.gene.p01
Kleb-3R-barcode03-contig_5_27	DQ449578.gene.p01
Kleb-3R-barcode04-contig_2_224	DQ449578.gene.p01
Kleb-3R-barcode04-contig_7_12	DQ449578.gene.p01
Kleb-3R-barcode05-contig_6_211	DQ449578.gene.p01
Kleb-3R-barcode07-contig_3_2	DQ810789.1.gene1.p01
Kleb-3R-barcode07-contig_4_17	DQ810789.1.gene1.p01
Kleb-3R-barcode08-contig_2_113	DQ810789.1.gene1.p01
Kleb-3R-barcode10-contig_3_33	DQ303918.1.gene1.p01
Kleb-3R-barcode11-contig_2_22	AAF72530
Kleb-3R-barcode11-contig_4_43	DQ449578.gene.p01
Kleb-3R-barcode12-contig_4_120	AAF72530
Kleb-3R-barcode13-contig_2_3106	DQ449578.gene.p01
Kleb-3R-barcode14-contig_1_1	gb|WP_136512065.1|ARO:3005649|CTX-M-226
Kleb-3R-barcode14-contig_4_114	DQ810789.1.gene1.p01
Kleb-3R-barcode14-contig_4_109	DQ449578.gene.p01
Kleb-3R-barcode15-contig_3_74	DQ449578.gene.p01
Kleb-3R-barcode16-contig_2_86	DQ449578.gene.p01
Kleb-3R-barcode17-contig_1_123	DQ449578.gene.p01
Kleb-3R-barcode17-contig_3_159	DQ810789.1.gene1.p01
Kleb-3R-barcode19-contig_2_11	DQ810789.1.gene1.p01
Kleb-3R-barcode20-contig_2_5	DQ449578.gene.p01
Kleb-3R-barcode20-contig_3_1	DQ810789.1.gene1.p01
Kleb-3R-barcode20-contig_3_48	DQ449578.gene.p01
Kleb-3R-barcode21-contig_5_29	DQ449578.gene.p01
Kleb-3R-barcode22-contig_3_8	DQ810789.1.gene1.p01
Kleb-3R-barcode22-contig_3_13	DQ449578.gene.p01
Kleb-3R-barcode24-contig_7_20	DQ810789.1.gene1.p01
Kleb-3R-barcode24-contig_7_8	DQ449578.gene.p01
Kleb-3R-barcode25-contig_12_43	DQ810789.1.gene1.p01
Kleb-3R-barcode25-contig_7_55	DQ449578.gene.p01
Kleb-3R-barcode26-contig_3_42	DQ810789.1.gene1.p01
Kleb-3R-barcode26-contig_3_20	DQ810789.1.gene1.p01
Kleb-3R-barcode29-contig_14_12	DQ449578.gene.p01
Kleb-3R-barcode29-contig_2_3833	DQ810789.1.gene1.p01
Kleb-3R-barcode30-contig_3_71	AAF72530
Kleb-3R-barcode31-contig_3_126	DQ810789.1.gene1.p01
Kleb-3R-barcode33-contig_8_1	DQ449578.gene.p01
Kleb-3R-barcode33-contig_9_32	EF418608.1.gene1.p01
Kleb-3R-barcode33-contig_9_228	DQ449578.gene.p01
Kleb-3R-barcode34-contig_3_197	EF418608.1.gene1.p01
Kleb-3R-barcode34-contig_3_1	DQ449578.gene.p01
Kleb-3R-barcode34-contig_4_84	DQ449578.gene.p01
Kleb-3R-barcode36-contig_2_47	AAF72530
Kleb-3R-barcode38-contig_3_90	ABE98197
Kleb-3R-barcode39-contig_2_64	DQ303918.1.gene1.p01
Kleb-3R-barcode39-contig_2_2	ABP68837
Kleb-3R-barcode39-contig_3_167	DQ303918.1.gene1.p01
Kleb-3R-barcode39-contig_3_22	Y10278.1.gene1.p01
Kleb-3R-barcode39-contig_3_1	gb|BAG55487.1|ARO:3002735|QnrB20
Kleb-3R-barcode39-contig_3_29	DQ449578.gene.p01
Kleb-3R-barcode40-contig_3_125	DQ810789.1.gene1.p01
Kleb-3R-barcode41-contig_3_114	AAF72530
Kleb-3R-barcode42-contig_7_38	DQ810789.1.gene1.p01
Kleb-3R-barcode43-contig_1_22	DQ449578.gene.p01
Kleb-3R-barcode43-contig_4_175	DQ810789.1.gene1.p01
Kleb-3R-barcode44-contig_1_2285	DQ810789.1.gene1.p01
Kleb-3R-barcode45-contig_2_9	DQ449578.gene.p01
Kleb-3R-barcode47-contig_2_7	DQ449578.gene.p01
Kleb-3R-barcode47-contig_3_57	DQ810789.1.gene1.p01
Kleb-3R-barcode48-contig_2_35	DQ449578.gene.p01
Kleb-3R-barcode53-contig_2_6	DQ810789.1.gene1.p01
Kleb-3R-barcode55-contig_4_113	DQ810789.1.gene1.p01
Kleb-3R-barcode57-contig_3_185	DQ810789.1.gene1.p01
Kleb-3R-barcode57-contig_3_5	DQ449578.gene.p01
Kleb-3R-barcode58-contig_4_97	DQ810789.1.gene1.p01
Kleb-3R-barcode59-contig_4_143	DQ449578.gene.p01
Kleb-3R-barcode60-contig_11_73	DQ810789.1.gene1.p01
Kleb-3R-barcode61-contig_2_118	EF418608.1.gene1.p01
Kleb-3R-barcode61-contig_5_25	DQ449578.gene.p01
Kleb-3R-barcode62-contig_6_54	DQ449578.gene.p01
Kleb-3R-barcode62-contig_8_108	EF418608.1.gene1.p01
Kleb-3R-barcode63-contig_1_58	DQ449578.gene.p01
Kleb-3R-barcode63-contig_4_119	DQ449578.gene.p01
Kleb-3R-barcode64-contig_4_37	ABE98197
Kleb-3R-barcode65-contig_1_14	ABE98197
Kleb-3R-barcode70-contig_1_14	ABE98197
Kleb-3R-barcode74-contig_4_1	DQ449578.gene.p01
Kleb-3R-barcode76-contig_4_18	DQ449578.gene.p01
Kleb-3R-barcode76-contig_9_70	DQ810789.1.gene1.p01
Kleb-3R-barcode77-contig_2_109	DQ449578.gene.p01
Kleb-3R-barcode77-contig_2_48	DQ449578.gene.p01
Kleb-3R-barcode81-contig_2_50	DQ449578.gene.p01
Kleb-3R-barcode82-contig_2_61	DQ449578.gene.p01
Kleb-3R-barcode83-contig_3_42	DQ449578.gene.p01
Kleb-3R-barcode85-contig_4_115	DQ449578.gene.p01
Kleb-3R-barcode85-contig_5_87	DQ303918.1.gene1.p01
Kleb-3R-barcode85-contig_5_98	ABE98197
Kleb-3R-barcode85-contig_5_102	ABE98197
Kleb-3R-barcode87-contig_2_17	DQ810789.1.gene1.p01
Kleb-3R-barcode87-contig_2_5	DQ449578.gene.p01
Kleb-3R-barcode87-contig_3_6	DQ449578.gene.p01
Kleb-3R-barcode89-contig_2_8	DQ449578.gene.p01
Kleb-3R-barcode89-contig_3_17	DQ810789.1.gene1.p01
Kleb-3R-barcode89-contig_3_5	DQ449578.gene.p01
Kleb-3R-barcode91-contig_2_8	DQ449578.gene.p01
Kleb-3R-barcode91-contig_3_17	DQ810789.1.gene1.p01
Kleb-3R-barcode91-contig_3_5	DQ449578.gene.p01
Kleb-3R-barcode93-contig_3_78	DQ449578.gene.p01
Kleb-3R-barcode93-contig_4_6	DQ449578.gene.p01
Kleb-3R-barcode95-contig_5_114	DQ303918.1.gene1.p01
Kleb-3R-barcode95-contig_5_133	AB284167.2.gene1.p01
Kleb-3R-barcode95-contig_6_47	DQ449578.gene.p01
manhole-barcode03-contig_2_95	JX017365.1.gene1.p01
manhole-barcode04-contig_2_94	DQ449578.gene.p01
manhole-barcode05-contig_2_26	DQ449578.gene.p01
manhole-barcode06-contig_1_29	DQ449578.gene.p01
manhole-barcode07-contig_5_90	DQ449578.gene.p01
manhole-barcode17-contig_4_66	DQ810789.1.gene1.p01
manhole-barcode18-contig_4_44	DQ810789.1.gene1.p01
manhole-barcode20-contig_7_30	DQ810789.1.gene1.p01
manhole-barcode21-contig_6_9	DQ810789.1.gene1.p01
manhole-barcode22-contig_4_53	DQ810789.1.gene1.p01
manhole-barcode23-contig_3_12	DQ810789.1.gene1.p01
manhole-barcode24-contig_1_58	DQ810789.1.gene1.p01
manhole-barcode41-contig_3_22	DQ449578.gene.p01
manhole-barcode43-contig_1_2245	DQ449578.gene.p01
manhole-barcode46-contig_1_4461	AAF72530
manhole-barcode59-contig_2_101	DQ449578.gene.p01
manhole-barcode61-contig_5_8	DQ449578.gene.p01
manhole-barcode63-contig_3_50	DQ449578.gene.p01
manhole-barcode64-contig_4_45	DQ449578.gene.p01
manhole-barcode65-contig_6_60	DQ449578.gene.p01
manhole-barcode66-contig_2_5	ACD01409
manhole-barcode66-contig_2_2	gi|502364505|ref|WP_012772744.1|
manhole-barcode67-contig_1_1106	DQ810789.1.gene1.p01
manhole-barcode68-contig_3_2	gi|502364505|ref|WP_012772744.1|
manhole-barcode68-contig_3_5	gi|502364505|ref|WP_012772744.1|
manhole-barcode69-contig_3_3	EF418608.1.gene1.p01
manhole-barcode70-contig_4_2	gi|502364505|ref|WP_012772744.1|
manhole-barcode71-contig_4_13	EF418608.1.gene1.p01
manhole-barcode73-contig_2_38	DQ449578.gene.p01
manhole-barcode74-contig_2_71	EF418608.1.gene1.p01
manhole-barcode75-contig_3_71	EF418608.1.gene1.p01
manhole-barcode76-contig_2_95	DQ449578.gene.p01
manhole-barcode77-contig_8_28	DQ449578.gene.p01
manhole-barcode78-contig_1_121	DQ449578.gene.p01
manhole-barcode79-contig_1_120	DQ449578.gene.p01
manhole-barcode80-contig_6_198	DQ449578.gene.p01
manhole-barcode87-contig_2_114	DQ303918.1.gene1.p01
manhole-barcode87-contig_2_107	ABE98197
manhole-barcode89-contig_2_89	DQ303918.1.gene1.p01
manhole-barcode89-contig_2_82	ABE98197
manhole-barcode91-contig_2_94	DQ449578.gene.p01
manhole-barcode93-contig_11_85	AY156923.1.gene1.p01
manhole-barcode94-contig_2_90	DQ449578.gene.p01
manhole-barcode95-contig_1_771	ABE98197
manhole-barcode95-contig_4_52	DQ449578.gene.p01
Pig-barcode37-contig_2_22	DQ449578.gene.p01
Pig-barcode39-contig_8_28	DQ449578.gene.p01
Pig-barcode39-contig_8_66	DQ449578.gene.p01
Pig-barcode40-contig_2_130	DQ449578.gene.p01
Pig-barcode41-contig_4_137	EF418608.1.gene1.p01
Pig-barcode41-contig_4_165	DQ449578.gene.p01
Pig-barcode42-contig_1_94	ABE98197
Pig-barcode45-contig_4_45	DQ449578.gene.p01
Pig-barcode46-contig_1_171	DQ449578.gene.p01
Pig-barcode51-contig_4_50	DQ449578.gene.p01
Pig-barcode52-contig_3_157	DQ449578.gene.p01
Pig-barcode55-contig_2_31	DQ449578.gene.p01
Pig-barcode58-contig_11_24	DQ449578.gene.p01
Pig-barcode63-contig_1_76	DQ449578.gene.p01
Pig-barcode64-contig_12_100	DQ449578.gene.p01
Pig-barcode64-contig_2_2	gb|ACG70184.1|ARO:3002788|QnrD1
Pig-barcode66-contig_120_11	gb|ACG70184.1|ARO:3002788|QnrD1
Pig-barcode66-contig_120_3	gb|ACG70184.1|ARO:3002788|QnrD1
Pig-barcode66-contig_120_7	gb|ACG70184.1|ARO:3002788|QnrD1
Pig-barcode66-contig_18_81	DQ449578.gene.p01
Pig-barcode66-contig_38_14	ABE98197
Pig-barcode68-contig_5_10	ABE98197
Pig-barcode70-contig_3_6	ACJ24509
Pig-barcode70-contig_6_30	DQ449578.gene.p01
Pig-barcode71-contig_5_22	ABE98197
Pig-barcode72-contig_15_2	gb|ACG70184.1|ARO:3002788|QnrD1
Pig-barcode72-contig_5_6	DQ449578.gene.p01
pig-inf-barcode01-contig_3_36	AAF72530
pig-inf-barcode02-contig_10_43	DQ810789.1.gene1.p01
pig-inf-barcode03-contig_2_45	AY156923.1.gene1.p01
pig-inf-barcode03-contig_4_77	DQ810789.1.gene1.p01
pig-inf-barcode05-contig_1_75	DQ449578.gene.p01
pig-inf-barcode05-contig_2_143	DQ810789.1.gene1.p01
pig-inf-barcode06-contig_1_121	DQ810789.1.gene1.p01
pig-inf-barcode06-contig_1_82	DQ449578.gene.p01
pig-inf-barcode07-contig_2_1504	DQ449578.gene.p01
pig-inf-barcode07-contig_3_5	DQ810789.1.gene1.p01
pig-inf-barcode08-contig_3_2	DQ810789.1.gene1.p01
pig-inf-barcode08-contig_3_7	DQ449578.gene.p01
pig-inf-barcode08-contig_4_90	DQ449578.gene.p01
pig-inf-barcode09-contig_2_71	AY156923.1.gene1.p01
pig-inf-barcode10-contig_16_9	DQ810789.1.gene1.p01
pig-inf-barcode12-contig_2_50	DQ810789.1.gene1.p01
pig-inf-barcode12-contig_4_28	DQ449578.gene.p01
pig-inf-barcode12-contig_5_35	DQ449578.gene.p01
pig-inf-barcode13-contig_2_3	DQ449578.gene.p01
pig-inf-barcode13-contig_4_133	DQ449578.gene.p01
pig-inf-barcode13-contig_5_23	DQ810789.1.gene1.p01
pig-inf-barcode14-contig_2_8	DQ810789.1.gene1.p01
pig-inf-barcode14-contig_4_31	DQ449578.gene.p01
pig-inf-barcode15-contig_5_105	AY156923.1.gene1.p01
pig-inf-barcode16-contig_9_5	AY156923.1.gene1.p01
pig-inf-barcode17-contig_2_79	DQ810789.1.gene1.p01
pig-inf-barcode17-contig_3_14	DQ449578.gene.p01
pig-inf-barcode17-contig_4_21	DQ449578.gene.p01
pig-inf-barcode19-contig_2_17	DQ810789.1.gene1.p01
pig-inf-barcode20-contig_4_98	DQ449578.gene.p01
pig-inf-barcode20-contig_5_50	DQ810789.1.gene1.p01
pig-inf-barcode20-contig_5_45	DQ449578.gene.p01
pig-inf-barcode21-contig_3_13	DQ810789.1.gene1.p01
pig-inf-barcode22-contig_15_4	DQ449578.gene.p01
pig-inf-barcode22-contig_2_19	DQ810789.1.gene1.p01
pig-inf-barcode22-contig_6_25	DQ449578.gene.p01
pig-inf-barcode23-contig_1_21	DQ810789.1.gene1.p01
pig-inf-barcode23-contig_1_26	DQ449578.gene.p01
pig-inf-barcode23-contig_4_139	DQ449578.gene.p01
pig-inf-barcode24-contig_2_5	DQ810789.1.gene1.p01
pig-inf-barcode24-contig_4_31	DQ449578.gene.p01
pig-inf-barcode25-contig_2_11	DQ810789.1.gene1.p01
pig-inf-barcode25-contig_2_5	DQ449578.gene.p01
pig-inf-barcode25-contig_3_84	DQ449578.gene.p01
pig-inf-barcode26-contig_3_59	AY156923.1.gene1.p01
pig-inf-barcode27-contig_3_59	DQ810789.1.gene1.p01
pig-inf-barcode27-contig_4_4358	DQ449578.gene.p01
pig-inf-barcode28-contig_3_8	DQ810789.1.gene1.p01
pig-inf-barcode28-contig_4_31	DQ449578.gene.p01
pig-inf-barcode30-contig_11_31	DQ449578.gene.p01
pig-inf-barcode30-contig_6_5	DQ810789.1.gene1.p01
pig-inf-barcode31-contig_4_28	DQ810789.1.gene1.p01
pig-inf-barcode31-contig_4_23	DQ449578.gene.p01
pig-inf-barcode31-contig_5_79	DQ449578.gene.p01
pig-inf-barcode32-contig_10_59	AY156923.1.gene1.p01
pig-inf-barcode32-contig_6_99	DQ449578.gene.p01
pig-inf-barcode33-contig_2_69	DQ810789.1.gene1.p01
pig-inf-barcode33-contig_2_6	DQ449578.gene.p01
pig-inf-barcode34-contig_3_8	DQ810789.1.gene1.p01
pig-inf-barcode34-contig_4_32	DQ449578.gene.p01
pig-inf-barcode35-contig_2_6	DQ810789.1.gene1.p01
pig-inf-barcode36-contig_4_106	AAY27811
pig-inf-barcode36-contig_4_124	DQ449578.gene.p01
pig-inf-barcode38-contig_1_5	DQ810789.1.gene1.p01
pig-inf-barcode38-contig_2_4361	DQ449578.gene.p01
pig-inf-barcode39-contig_2_66	AAY27811
pig-inf-barcode40-contig_3_13	DQ810789.1.gene1.p01
pig-inf-barcode40-contig_3_18	DQ449578.gene.p01
pig-inf-barcode40-contig_4_168	DQ449578.gene.p01
pig-inf-barcode41-contig_3_165	DQ449578.gene.p01
pig-inf-barcode41-contig_4_21	DQ810789.1.gene1.p01
pig-inf-barcode41-contig_4_26	DQ449578.gene.p01
pig-inf-barcode43-contig_10_5	AY156923.1.gene1.p01
pig-inf-barcode43-contig_2_898	DQ449578.gene.p01
pig-inf-barcode44-contig_5_61	DQ449578.gene.p01
pig-inf-barcode44-contig_6_1	gi|281335986|gb|ADA62550.1|
pig-inf-barcode44-contig_6_2	gb|WP_136512065.1|ARO:3005649|CTX-M-226
pig-inf-barcode44-contig_6_59	DQ810789.1.gene1.p01
pig-inf-barcode44-contig_6_54	DQ449578.gene.p01
pig-inf-barcode44-contig_6_111	DQ449578.gene.p01
pig-inf-barcode46-contig_4_75	DQ810789.1.gene1.p01
pig-inf-barcode47-contig_5_122	AY156923.1.gene1.p01
pig-inf-barcode49-contig_7_17	DQ449578.gene.p01
pig-inf-barcode50-contig_2_11	DQ449578.gene.p01
pig-inf-barcode53-contig_4_74	DQ449578.gene.p01
pig-inf-barcode57-contig_2_228	DQ449578.gene.p01
pig-inf-barcode63-contig_6_1	DQ449578.gene.p01
pig-inf-barcode63-contig_6_96	gb|ABU52984.1|ARO:3002792|QnrS3
